nacchoid,ruca_3_cat_RC
AK004,1
AK005,1
AK038,3
AK039,3
AK040,3
AK041,2
AL001,3
AL002,1
AL003,1
AL004,1
AL005,1
AL006,1
AL007,1
AL008,3
AL009,2
AL010,1
AL011,1
AL012,1
AL013,1
AL014,1
AL015,2
AL016,2
AL017,3
AL018,1
AL019,1
AL020,1
AL021,1
AL022,2
AL023,2
AL024,2
AL025,1
AL027,3
AL028,1
AL029,3
AL030,1
AL031,1
AL032,1
AL033,1
AL034,1
AL035,1
AL036,3
AL037,2
AL038,3
AL039,1
AL040,
AL041,3
AL042,3
AL043,2
AL044,3
AL045,2
AL047,1
AL048,1
AL049,2
AL051,1
AL052,3
AL055,1
AL056,1
AL057,2
AL059,1
AL060,3
AL061,3
AL062,3
AL063,1
AL064,2
AL065,1
AL066,
AL067,2
AL068,1
AL069,1
AL070,1
AL080,3
AR001,1
AR002,1
AR003,2
AR004,3
AR005,2
AR006,1
AR007,1
AR008,1
AR009,1
AR010,2
AR011,1
AR012,1
AR013,3
AR014,2
AR015,1
AR016,3
AR017,3
AR018,3
AR019,1
AR020,1
AR021,1
AR022,1
AR023,2
AR024,1
AR025,3
AR026,3
AR027,2
AR028,2
AR029,1
AR030,1
AR031,2
AR032,1
AR033,1
AR034,3
AR035,1
AR036,1
AR037,1
AR038,1
AR039,1
AR040,1
AR042,3
AR043,1
AR044,1
AR045,3
AR046,2
AR047,1
AR048,1
AR049,1
AR050,2
AR051,2
AR052,1
AR053,2
AR054,1
AR055,3
AR056,1
AR057,2
AR058,1
AR060,1
AR061,3
AR062,1
AR063,1
AR064,3
AR065,1
AR066,1
AR067,2
AR068,1
AR069,2
AR070,1
AR072,2
AR073,1
AR074,2
AR075,1
AR110,1
AR112,3
AZ001,1
AZ002,1
AZ005,2
AZ006,1
AZ007,1
AZ008,3
AZ009,2
AZ011,3
AZ012,
AZ014,3
AZ015,3
AZ017,2
CA001,3
CA002,1
CA005,2
CA008,3
CA010,2
CA011,3
CA012,1
CA013,2
CA015,2
CA016,3
CA017,2
CA018,2
CA019,1
CA020,3
CA022,3
CA023,3
CA024,1
CA025,2
CA027,1
CA029,3
CA030,3
CA031,2
CA032,3
CA033,3
CA036,3
CA037,3
CA038,2
CA039,3
CA040,3
CA041,3
CA042,3
CA043,3
CA045,3
CA046,3
CA048,3
CA049,
CA051,3
CA053,3
CA054,3
CA056,1
CA058,3
CA059,2
CA060,3
CA062,2
CO001,1
CO003,1
CO004,3
CO005,1
CO006,3
CO007,1
CO009,1
CO011,1
CO012,1
CO013,1
CO014,1
CO015,1
CO017,1
CO018,2
CO019,3
CO020,3
CO021,2
CO023,1
CO024,1
CO025,1
CO026,1
CO028,1
CO029,3
CO034,3
CO035,1
CO036,1
CO037,3
CO038,1
CO040,1
CO042,2
CO043,2
CO044,1
CO045,1
CO050,3
CO052,1
CO053,1
CO054,1
CO055,2
CO058,2
CO060,3
CO062,3
CO064,3
CO065,1
CO074,1
CO079,1
CO085,3
CO086,1
CO087,1
CT006,3
CT011,3
CT012,3
CT015,3
CT021,3
CT022,3
CT025,3
CT028,3
CT030,3
CT032,3
CT033,3
CT034,3
CT037,3
CT038,3
CT041,3
CT045,3
CT047,3
CT052,2
CT054,3
CT056,3
CT059,3
CT060,3
CT062,3
CT063,3
CT064,3
CT068,3
CT071,3
CT072,2
CT073,3
CT074,
CT075,3
CT079,3
CT081,3
CT082,3
CT083,3
CT090,3
CT091,3
CT092,3
CT096,3
CT097,3
CT098,3
CT102,3
CT104,3
CT106,3
CT109,3
CT110,3
CT112,3
CT116,
CT122,3
CT130,3
CT131,3
CT132,2
DC001,3
DE002,3
DE003,1
FL001,3
FL002,3
FL003,1
FL004,3
FL005,1
FL006,
FL007,3
FL008,1
FL009,3
FL010,2
FL011,3
FL012,3
FL013,2
FL014,3
FL015,2
FL016,1
FL017,3
FL018,2
FL019,1
FL020,2
FL021,1
FL022,1
FL023,1
FL024,2
FL025,2
FL026,3
FL027,2
FL028,3
FL029,1
